0,2e-05
1,2e-05
2,1e-05
3,1e-05
4,1e-05
5,1e-05
6,1e-05
7,2e-05
8,1e-05
9,1e-05
a,0.07525
b,0.01555
c,0.02245
d,0.03273
e,0.0789
f,0.00124
g,0.00101
h,0.02451
i,0.03781
j,0.02234
k,0.03936
l,0.05309
m,0.03244
n,0.05746
o,0.08069
p,0.0355
q,1e-05
r,0.0336
s,0.044
t,0.05253
u,0.03205
v,0.03743
w,0.00019
x,0.00039
y,0.01796
z,0.0205
§,1e-05
¨,1e-05
´,0.00018
á,0.02101
é,0.00752
í,0.02319
ó,0.00015
ú,0.00092
ý,0.00794
č,0.00999
ď,0.00083
ě,0.01824
ň,0.00049
ř,0.0112
š,0.0094
ť,0.00076
ů,0.00282
ž,0.01064
